Item	SellIn 	Quality
"+5 Dexterity Vest"		
Vest	10	20
Vest	9	19
Vest	8	18
Vest	7	17
Vest	6	16
Vest	5	15
Vest	4	14
Vest	3	13
Vest	2	12
Vest	1	11
Vest	-1	9
Vest	-2	7
Vest	-3	5
Vest	-4	3
Vest	-5	1
		
"Aged Brie"		
Brie	2	0
	1	1
	-1	2
	-2	3
	-3	4
	-4	5
	-5	6
	-6	7
	-7	8
	-8	9
	-9	10
	-10	11
	-11	12
	-12	13
	-13	14
	-14	15
	-15	16
	-16	17
	-17	18
	-18	19
	-19	20
	-20	21
	-21	22
	-22	23
	-23	24
	-24	25
	-25	26
	-26	27
	-27	28
	-28	29
	-29	30
	-30	31
	-31	32
	-32	33
	-33	34
	-34	35
	-35	36
	-36	37
	-37	38
	-38	39
	-39	40
	-40	41
	-41	42
	-42	43
	-43	44
	-44	45
	-45	46
	-46	47
	-47	48
	-48	49
	-49	50
		
"Elixer of the Mongoose"		
"Mong
"	5	7
"Mong
"	4	6
"Mong
"	3	5
"Mong
"	2	4
"Mong
"	1	3
"Mong
"	-1	1
		
"Sulfurus, Hand of Ragnaros"	0	80
		
"Backstage passes to a TAFKAL80ETC concert"		
Pass	15	20
	14	21
	13	22
	12	23
	11	24
	10	26
	9	28
	8	30
	7	32
	6	34
	5	37
	4	40
	3	43
	2	46
	1	49
		
"Conjured Mana Cake"		
ConCake	3	6
	2	4
	1	2
